1897,12,16,72800,
1899,03,07,69200,
1900,03,02,104000,
1901,03,22,77600,
1902,03,02,214000,23.6
1903,03,01,134000,
1903,10,11,295000,28.5
1905,03,28,88500,
1906,04,16,112000,
1907,01,26,,16.8
1907,12,12,,18.4
1909,02,21,,17.7
1910,04,23,,18.4
1911,01,05,,15.6
1912,03,16,,18.7
1913,03,28,160000,21.1
1914,03,29,143000,20.2
1915,02,26,85000,
1916,04,03,93800,17.3
1917,03,29,90600,17.0
1917,10,31,89100,16.9
1919,07,22,69200,15.6
1920,03,14,121000,19.0
1921,03,11,108000,18.2
1921,11,30,105000,18.0
1923,03,24,74800,16.0
1924,04,08,132000,19.6
1925,02,13,154000,20.8
1926,04,10,48100,13.97
1926,11,18,123000,19.07
1927,10,20,116000,18.68
1929,03,16,84800,16.70
1930,03,10,47400,13.85
1931,03,30,53200,14.37
1932,04,02,66100,15.40
1933,08,25,147000,20.43
1934,03,06,80000,16.42
1935,07,10,129000,19.51
1936,03,19,227000,24.43
1937,02,23,74200,15.93
1938,09,23,125000,19.22
1938,12,07,99500,17.63
1940,04,01,151600,20.62
1941,04,07,56800,14.52
1942,05,24,161200,21.12
1943,01,01,118900,18.77
1943,11,10,78000,16.24
1945,07,21,82200,16.52
1946,05,29,82300,16.51
1947,04,07,98500,17.37
1948,03,23,125600,19.06
1949,01,01,139100,19.83
1950,04,06,79800,16.37
1951,04,01,133200,19.72
1952,07,11,95400,17.41
1952,12,12,139000,20.07
1953,12,08,46300,13.79
1955,08,20,329000,28.60
1955,10,17,133000,19.70
1957,04,07,77500,16.18
1957,12,22,108000,18.24
1959,01,23,84800,16.70
1960,04,05,124000,19.18
1961,02,27,96600,17.49
1962,04,02,67100,15.43
1963,03,28,87300,16.87
1964,03,11,80900,16.42
1965,02,08,48700,13.99
1966,03,07,33100,12.58
1967,03,07,47500,13.88
1968,05,31,68300,15.52
1969,07,29,83100,16.58
1970,04,03,100000,17.71
1971,08,28,66400,15.38
1972,06,23,103000,17.86
1973,06,30,135000,19.78
1973,12,22,119000,18.90
1975,02,26,94600,17.35
1976,01,28,113000,18.52
1977,03,15,117000,18.75
1978,01,10,89500,17.26
1979,01,25,117000,18.70
1980,03,21,104000,17.83
1981,02,13,79900,16.17
1982,04,05,54900,14.39
1983,04,17,138000,19.89
1984,05,30,152000,20.64
1985,09,28,87200,16.68
1986,03,16,140000,20.22
1987,04,06,90700,17.43
1988,03,28,40600,13.37
1989,05,07,83300,16.95
1989,10,21,76700,16.45
1990,11,12,64900,15.50
1992,06,06,46800,13.98
1993,04,02,109000,18.63
1994,04,15,75600,16.36
1995,03,10,49300,14.20
1996,01,20,179000,22.20
1996,12,03,101000,17.87
1998,05,12,69500,15.67
1999,09,16,112000,18.53
2000,02,29,62400,15.12
2000,12,19,80100,16.45
2002,05,15,43400,13.52
2003,03,22,83100,16.66
2004,09,19,201000,23.41
2005,04,04,242000,25.33
2006,06,29,237000,25.09
2007,04,17,116000,18.82
2008,03,10,108000,18.28
2008,12,13,90400,17.16
2010,03,15,75900,16.15
2011,09,08,195000,23.11
2012,12,22,61600,15.06
2014,04,30,80200,16.46
2015,07,02,41500,13.46
