1903,06,14,36000,
1983,03,04,190,4.90
1984,03,29,58.0,4.16
1985,02,24,22.0,3.77
1986,02,22,186,4.96
1987,03,15,29.0,3.81
1988,01,10,25.0,3.87
1989,02,22,27.0,3.87
1989,11,11,1.80,3.01
1991,05,18,30.0,4.12
1992,05,18,2.30,3.16
1993,03,04,87.0,4.38
1994,06,07,11.0,3.50
1995,02,18,42,4.26
1996,02,07,90,4.86
1996,12,29,102,5.12
1998,05,30,128,5.57
1999,02,27,14,3.93
2000,03,08,17,4.34
2001,04,20,7.7,3.39
2002,04,03,0.81,2.88
2003,05,02,3.90,3.25
2004,01,29,13,4.28
2005,05,16,17,4.13
2006,04,11,52,4.42
2007,03,04,,4.36
2008,06,04,10,3.50
2009,03,29,31.0,4.07
2010,06,11,12.0,3.56
2011,06,02,288,6.10
2012,07,17,24,3.92
2013,02,01,5.9,3.30
2014,03,10,86,4.82
2015,01,05,18,3.77
