72388 VEF Las Vegas Observations at 12Z 14 Sep 2015

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
   32.8  23470  -54.3  -72.6      9   0.06    130     12  581.1  581.6  581.1
   32.0  23625  -54.7  -72.7      9   0.06    129     10  584.0  584.6  584.1
   30.0  24040  -52.1  -72.1      7   0.08    125      6  602.0  602.6  602.0
   28.8  24304  -51.5  -71.5      7   0.09    110      6  610.7  611.5  610.8
   28.4  24384  -51.8  -71.4      8   0.09    105      6  612.2  613.0  612.2
   26.1  24939  -53.5  -70.5     11   0.11    121     11  622.5  623.4  622.5
   23.6  25603  -52.0  -70.2     10   0.13    140     16  645.4  646.5  645.4
   22.5  25908  -51.3  -70.0      9   0.14    125     12  656.1  657.4  656.2
   21.8  26102  -50.9  -69.9      9   0.14     96     12  663.1  664.4  663.1
   21.4  26213  -51.2  -70.0      9   0.14     80     12  665.5  666.9  665.6
   20.2  26596  -52.1  -70.1     10   0.15     89     17  674.0  675.4  674.1
   20.0  26660  -51.9  -69.9     10   0.15     90     18  676.6  678.0  676.6
   18.3  27239  -49.5  -69.5      8   0.18    105     20  701.5  703.2  701.5
   17.8  27432  -49.8  -69.0      9   0.20    110     21  706.4  708.4  706.5
   17.0  27737  -50.3  -68.3     10   0.23    135      8  714.5  716.7  714.5
   17.0  27721  -50.3  -68.3     10   0.23    134      9  713.8  716.1  713.9
   16.2  28042  -49.7  -68.0     10   0.25    130     23  726.0  728.4  726.1
   14.1  28956  -47.9  -67.3      9   0.32    115     11  761.5  764.8  761.6
   13.4  29261  -47.2  -67.0      9   0.34    125     17  773.7  777.4  773.9
   13.1  29434  -46.9  -66.9      8   0.36     94     15  780.8  784.6  780.9
   12.8  29566  -47.0  -67.0      8   0.36     70     13  784.9  788.9  785.1
   12.3  29870  -47.1  -67.1      8   0.37    100     12  794.7  798.8  794.9
   11.2  30480  -47.5  -67.5      8   0.39    105      7  814.7  819.1  814.9
   10.0  31220  -47.9  -67.9      8   0.41    105     14  839.6  844.4  839.9
    9.1  31842  -47.7  -67.7      8   0.46    125     16  863.3  868.9  863.6
    8.9  32004  -46.8  -67.7      7   0.48    130     17  872.7  878.4  873.0
    8.6  32217  -45.7  -67.7      7   0.49                885.2  891.2  885.4
