72388 VEF Las Vegas Observations at 00Z 15 Sep 2015

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
   23.9  25603  -49.1  -83.1      1   0.02    150     20  651.5  651.7  651.5
   22.9  25872  -49.7  -83.7      1   0.02    141     19  657.4  657.5  657.4
   22.8  25908  -49.6  -83.7      1   0.02    140     19  658.5  658.7  658.5
   20.0  26760  -48.5  -82.5      1   0.02    165     16  687.0  687.2  687.0
   19.8  26822  -48.3  -82.4      1   0.02    170     13  689.5  689.7  689.5
   18.9  27127  -47.2  -82.1      1   0.02    140     11  701.9  702.1  701.9
   18.8  27168  -47.1  -82.1      1   0.03    133     10  703.6  703.8  703.6
   18.1  27432  -47.1  -82.1      1   0.03     90      7  711.6  711.9  711.6
   16.7  27952  -47.1  -82.1      1   0.03     86      7  727.8  728.1  727.8
   14.1  29067  -49.3  -83.3      1   0.03     77      6  756.4  756.7  756.4
   13.1  29552  -47.3  -82.3      1   0.04     73      6  779.4  779.8  779.4
   11.6  30370  -39.5  -76.5      1   0.10     66      6  834.8  836.0  834.8
   11.4  30480  -39.8  -76.7      1   0.10     65      6  837.6  838.9  837.7
   10.0  31380  -42.1  -78.1      1   0.09     35     12  861.3  862.4  861.3
    8.7  32309  -43.2  -79.2      1   0.09    105     13  891.6  892.7  891.6
    8.6  32397  -43.3  -79.3      1   0.09                894.5  895.7  894.6

